subtitles;;
Barrio;Latitude;Longitude
Abrantes;40,37897637;-3,726166206
Acacias;40,4010676;-3,707261029
Adelfas;40,40111557;-3,670973228
Águilas;40,38180084;-3,771087496
Alameda de Osuna;40,45655225;-3,591438072
Almagro;40,43285026;-3,69353891
Almendrales;40,38366537;-3,699266691
Aluche;40,3919112;-3,756691459
Ambroz;40,409891;-3,616972
Apóstol Santiago;40,47640386;-3,659417217
Arapiles;40,43440686;-3,70802633
Aravaca;40,45468676;-3,779097917
Arganzuela;40,40021;-3,69618
Argüelles;40,42820854;-3,717846305
Arroyo del Fresno;40,49085;-3,725298
Atalaya;40,46427161;-3,664942378
Barajas;40,47855824;-3,563446439
Barrio de Salamanca;40,42972;-3,67975
Bellas Vistas;40,4524552;-3,707638137
Bernabéu-Hispanoamérica;40,45536687;-3,677144198
Berruguete;40,45962217;-3,704955068
Buena Vista;40,3670946;-3,746079271
Butarque;40,33711489;-3,676254238
Campamento;40,3851618;-3,803663348
Campo de las Naciones-Corralejos;40,46421137;-3,60717612
Canillas;40,46378098;-3,643712565
Carabanchel;40,39094;-3,7242
Casa de Campo;40,42363403;-3,753050045
Casco Histórico de Barajas;40,47400499;-3,578866263
Casco Histórico de Vallecas;40,34589092;-3,618221756
Casco Histórico de Vicálvaro;40,38815264;-3,579807411
Castellana;40,43355606;-3,684296236
Castilla;40,47431652;-3,679722983
Centro;40,41831;-3,70275
Chamartín;40,46206;-3,6766
Chamberí;40,43404;-3,70379
Chopera;40,39476955;-3,699071873
Chueca-Justicia;40,42366147;-3,696677176
Ciudad Jardín;40,44829698;-3,673004117
Ciudad Lineal;40,44505;-3,65132
Ciudad Universitaria;40,45595113;-3,738399484
Colina;40,45804728;-3,660309045
Comillas;40,39350078;-3,711964152
Concepción;40,43931705;-3,649280697
Conde Orgaz-Piovera;40,45571272;-3,635081908
Costillares;40,47665344;-3,66851724
Cuatro Caminos;40,45153239;-3,697044998
Cuatro Vientos;40,36868069;-3,78405157
Cuzco-Castillejos;40,46042016;-3,694155799
Delicias;40,3967986;-3,689887494
El Cañaveral - Los Berrocales;40,40364164;-3,545805132
El Pardo;40,55290283;-3,767449177
El Plantío;40,46974084;-3,820908176
El Viso;40,44487457;-3,684791343
Ensanche de Vallecas - La Gavia;40,36641511;-3,602446451
Entrevías;40,37479276;-3,673111607
Estrella;40,41408649;-3,665530664
Fontarrón;40,40141507;-3,646775125
Fuencarral;40,4984;-3,7314
Fuente del Berro;40,42477645;-3,663793253
Fuentelarreina;40,48110655;-3,741786242
Gaztambide;40,43498552;-3,714607361
Goya;40,42505056;-3,674421406
Guindalera;40,43634212;-3,666591236
Horcajo;40,4085749;-3,626943965
